index,idnekretnine,Tip_nekretnine,Tip_ponude,Cena,Cena_kvadrat,Kvadratura,Sprat,Spratnost,Uknjizeno,Grejanje,Ukupan broj soba,Namestenost,Broj kupatila,Tip gradnje,Stanje objekta,Grad,Deo grada,MikroLokacija,Površina placa,Parking,Lift,Link,Distance
1,630883,Stanovi,Prodaja,545000,3.658,149,6,7,1,Centralno,4.0,,2.0,Novogradnja,Lux,Beograd,Novi Beograd, A blok (Blok 67a),,1,0,https://sasomange.rs//p/140722418/blok-a-stan-111kvm-terasa?ref=SuperSasoAdBasePromotion,
2,630884,Stanovi,Prodaja,420000,3.206,131,2,3,0,Centralno,4.0,,,,,Beograd,Zvezdara, Vukov Spomenik,,0,1,https://sasomange.rs//p/119820298/zvezdara-vukov-spomenik-cirila-i?ref=SuperSasoAdBasePromotion,2.4358488943593373
3,630928,Stanovi,Prodaja,112200,2.55,44,0,5,0,Etažno,2.0,,1.0,Novogradnja,,Beograd,Zvezdara, Severni bulevar,,0,0,https://sasomange.rs//p/133465038/odlican-44-plus-30-plus,3.5695249238901785
4,630971,Stanovi,Prodaja,105000,2.234,47,2,4,1,Etažno,2.0,,1.0,Starogradnja,,Beograd,Zvezdara, Mirijevo,,1,0,https://sasomange.rs//p/142047434/odlican-dvosoban-stan-id-123791,5.9291674812237805
5,630973,Stanovi,Prodaja,175000,2.16,81,7,9,0,Centralno,3.0,,2.0,Starogradnja,,Beograd,Novi Beograd, Stara Bežanija,,0,1,https://sasomange.rs//p/142047827/odlican-stan-81m2-blok-64,6.585050268691708
6,630986,Stanovi,Prodaja,209000,3.603,58,2,4,1,Centralno,2.0,,1.0,Starogradnja,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/137217970/vracar-njegoseva-id-3659,1.9138565937883534
7,631000,Stanovi,Prodaja,131000,1.899,69,1,4,1,Etažno,3.0,,1.0,Novogradnja,,Beograd,Novi Beograd, Vojvođanska ulica,,1,0,https://sasomange.rs//p/141857967/lux-stanovi-u-izgradnji-kod,
8,631021,Stanovi,Prodaja,200000,2.439,82,1,4,1,Centralno,3.0,,1.0,Starogradnja,,Beograd,Novi Beograd, Bežanijska kosa 1,,0,1,https://sasomange.rs//p/138551841/partizanske-avijacije-bezanijska-kosa-1,6.214373520575912
9,631023,Stanovi,Prodaja,74000,1.947,38,1,4,1,Etažno,2.0,,1.0,Novogradnja,,Beograd,Novi Beograd, Ledine,,1,0,https://sasomange.rs//p/141863946/lux-stan-u-stambenom-kompleksu,8.326576335081576
10,631027,Stanovi,Prodaja,195000,2.6,75,3,4,1,TA peć,2.0,,1.0,Starogradnja,Lux,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/142040299/stan-kod-hrama-za-prodaju,1.367245700987994
11,631032,Stanovi,Prodaja,375000,4.518,83,17,23,0,Centralno,3.0,,,Novogradnja,,Beograd,Savski venac, Beograd na vodi,,1,1,https://sasomange.rs//p/142027606/beograd-na-vodi-parkview,1.1112000210374295
12,631035,Stanovi,Prodaja,689500,4.507,153,4,5,0,Centralno sa kalorimetrom,4.0,,2.0,Novogradnja,Lux,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/141857038/odlican-4-0-novogradnja-hram,1.367245700987994
13,631038,Stanovi,Prodaja,589500,4.5,131,3,4,0,Centralno,4.0,,2.0,Novogradnja,Lux,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/141863933/odlican-4-0-novogradnja-hram,1.367245700987994
