index,Cena,Kvadratura,Sprat,Distance
1,420000,131,2,2.4358488943593373
2,112200,44,0,3.5695249238901785
3,105000,47,2,5.9291674812237805
4,175000,81,7,6.585050268691708
5,209000,58,2,1.9138565937883534
6,200000,82,1,6.214373520575912
7,74000,38,1,8.326576335081576
8,195000,75,3,1.367245700987994
9,375000,83,17,1.1112000210374295
10,689500,153,4,1.367245700987994
11,589500,131,3,1.367245700987994
12,224500,68,2,3.8829398193223117
13,245000,82,2,4.575169760194894
14,185000,61,7,3.39577391009416
15,165000,46,1,1.367245700987994
16,335000,150,4,3.39577391009416
17,99000,33,0,1.93046391602077
18,128390,35,0,3.01102797197858
19,150000,66,0,1.367245700987994
20,140000,66,0,1.367245700987994
21,285000,62,8,1.1112000210374295
22,120000,37,2,2.4358488943593373
23,260000,88,5,3.9068594937586565
24,129000,42,7,3.8324414104227666
25,135000,60,0,2.8979650008593345
26,275000,84,5,2.4930443215423934
27,133000,60,4,4.949355181661503
28,318000,105,1,6.214373520575912
29,185000,86,11,5.798963754041486
30,85000,34,0,4.443990198890572
31,375000,109,3,1.367245700987994
32,244673,83,0,4.304899319797302
33,151000,63,0,3.8046748802068664
34,115000,53,1,7.212888553561136
35,180000,82,2,2.8979650008593345
36,75850,41,2,8.326576335081576
37,175000,82,0,6.561191024752818
38,107300,58,1,8.326576335081576
39,130000,45,0,6.175779306746362
40,110000,37,0,6.175779306746362
41,102000,40,0,3.8046748802068664
42,350000,126,2,4.304899319797302
43,109694,42,1,3.5695249238901785
44,307000,90,1,1.5690536769939698
45,240000,73,1,2.320570769957847
46,620000,185,1,2.1042506912594936
47,274652,98,0,4.304899319797302
48,247680,83,2,2.698707855040707
49,130000,53,0,1.9138565937883534
50,75000,33,-1,1.9138565937883534
51,260624,93,0,4.304899319797302
52,307888,64,0,1.1112000210374295
53,295000,99,2,1.367245700987994
54,101000,48,0,5.9291674812237805
55,360000,90,1,1.9138565937883534
56,278820,93,1,2.698707855040707
57,170000,82,0,2.534945943790705
58,181000,81,1,8.291903580663314
59,530000,236,1,2.1042506912594936
60,155000,84,1,3.5695249238901785
61,400000,96,8,2.698707855040707
62,190000,66,1,2.923542182699003
63,285000,87,0,1.9739752822992167
64,95000,49,3,8.326576335081576
65,130000,40,2,3.39577391009416
66,145000,94,5,5.9291674812237805
67,276888,55,1,1.1112000210374295
68,155000,49,1,2.698707855040707
69,360000,92,1,1.367245700987994
70,390888,90,0,1.1112000210374295
71,294888,84,0,1.1112000210374295
72,837888,174,15,1.1112000210374295
73,611888,152,15,1.1112000210374295
74,518888,125,0,1.1112000210374295
75,872888,141,11,1.1112000210374295
76,701888,157,10,1.1112000210374295
77,271888,77,2,1.1112000210374295
78,119000,53,0,6.580866223735041
79,205000,75,4,5.586004149548912
80,310000,106,3,1.9138565937883534
81,525200,197,5,1.367245700987994
82,180000,64,6,4.086195200867035
83,225000,79,5,2.698707855040707
84,88000,22,-1,1.4619728006690051
85,160450,62,0,3.8324414104227666
86,164500,63,2,3.8324414104227666
87,104000,40,0,3.8324414104227666
88,99000,35,0,2.698707855040707
89,168000,60,1,3.3459803855452006
90,119000,49,0,6.585050268691708
91,150000,79,2,5.9291674812237805
92,225000,77,0,1.8545878532089057
93,149500,57,3,5.586004149548912
94,725400,109,4,1.367245700987994
95,169775,68,0,6.585050268691708
96,160000,60,5,2.326402454821793
97,280000,88,6,3.3054993590538073
98,278820,93,2,2.698707855040707
99,125000,49,0,6.580866223735041
100,329000,98,5,1.367245700987994
101,135000,69,4,5.1341397107445985
102,132000,49,1,3.8046748802068664
103,160200,64,0,6.585050268691708
104,151296,63,0,6.585050268691708
105,165342,65,1,6.585050268691708
106,170000,77,8,6.561191024752818
107,132000,40,0,1.4619728006690051
108,159775,64,0,6.585050268691708
109,180075,74,0,6.585050268691708
110,98500,63,2,5.9291674812237805
111,144900,60,5,3.39577391009416
112,510000,134,4,1.8545878532089057
113,315000,75,0,1.8545878532089057
114,267000,145,7,2.534945943790705
115,660000,180,1,2.1042506912594936
116,116990,35,4,0.9945108890299524
117,226000,63,7,1.9138565937883534
118,402800,106,1,2.534945943790705
119,310000,154,1,1.3840965110666832
120,160000,54,3,6.214373520575912
121,165000,54,4,5.070782730103338
122,165000,75,2,1.3840965110666832
123,424000,106,1,3.4133918322367123
124,169650,68,0,6.585050268691708
125,155025,62,0,6.585050268691708
126,165000,60,8,2.3367349701720896
127,250000,95,0,2.698707855040707
128,365000,81,1,1.1112000210374295
129,138800,49,0,2.320570769957847
130,209900,75,3,3.39577391009416
131,125000,32,0,2.853024016213637
132,240000,80,1,2.5172387744770863
133,125000,63,6,3.2266491406631235
134,210000,82,4,2.698707855040707
135,148000,62,1,6.214373520575912
136,430000,72,12,1.1112000210374295
137,330000,104,6,1.5488422161721425
138,191000,70,0,3.39577391009416
139,122000,68,1,5.9291674812237805
140,80000,51,0,5.729823400371799
141,166000,58,5,1.4345129655594104
142,137000,50,1,5.798963754041486
143,97000,57,1,5.9291674812237805
144,199000,87,1,5.798963754041486
145,285000,72,2,1.9138565937883534
146,331800,79,1,1.1112000210374295
147,496000,118,4,1.367245700987994
148,291000,106,9,2.3367349701720896
149,457888,125,7,1.1112000210374295
150,189000,74,1,1.9138565937883534
151,144000,45,2,4.443990198890572
152,452888,125,5,1.1112000210374295
153,750000,109,14,1.1112000210374295
154,412515,92,6,1.1112000210374295
155,774336,222,8,1.1112000210374295
156,190000,100,0,3.8324414104227666
157,429000,78,2,1.367245700987994
158,250000,86,1,2.4358488943593373
159,57000,27,0,3.5695249238901785
160,150000,48,6,1.6625786996508616
161,390000,120,1,2.1042506912594936
162,224500,68,2,4.0238553217329125
